ID,Iden,location,population,ramet,Germ.Tmin,Germ.Tmax,PTGR.Tmin,PTGR.Tmax,HCMS,CCMS,HCHPL,CCHPL,HPS,CPS
RE3,RE3A,South,RE,A,NA,NA,NA,NA,0.958796206,0.506514859,0.584509271,0.698520454,0.815384615,0.891213389
RE3,RE3B,South,RE,B,NA,NA,NA,NA,0.831487152,0.476983714,0.378004882,0.381451544,NA,NA
RE3,RE3C,South,RE,C,NA,NA,NA,NA,0.86850207,0.45475747,0.490054969,0.665471561,NA,0.825471698
RE3,RE3D,South,RE,D,NA,NA,NA,NA,0.764110704,0.49020103,0.394794721,0.633867196,NA,NA
RE5,RE5A,South,RE,A,NA,NA,NA,NA,0.615576324,0.544723004,0.82309484,0.54368932,NA,0.734104046
RE5,RE5B,South,RE,B,NA,NA,NA,NA,0.609995773,0.542430905,0.41030508,0.585205993,NA,NA
RE5,RE5C,South,RE,C,NA,NA,NA,NA,0.754636503,0.495599082,0.469426582,0.595941082,NA,0.682808717
RE5,RE5D,South,RE,D,NA,NA,NA,NA,0.689335355,0.426703329,0.472502441,0.623202514,0.385390428,0.466312057
RE6,RE6A,South,RE,A,NA,NA,NA,NA,0.62572201,0.601103257,0.347572816,0.497545382,NA,NA
RE6,RE6B,South,RE,B,NA,NA,NA,NA,0.440843347,0.510278439,0.303627561,0.593277155,NA,NA
RE6,RE6C,South,RE,C,NA,NA,NA,NA,0.76101939,0.489989902,0.36624424,0.645812053,NA,NA
RE7,RE7A,South,RE,A,NA,NA,NA,NA,0.889403222,0.5853809,0.46310236,0.525499879,NA,NA
RE7,RE7C,South,RE,C,NA,NA,NA,NA,0.855303211,0.519528651,0.335191914,0.664643366,NA,NA
RE7,RE7D,South,RE,D,NA,NA,NA,NA,0.75677037,0.5269084,0.476002192,0.266984336,0.65470852,0.973837209
RE8,RE8A,South,RE,A,NA,NA,NA,NA,0.696922058,0.58226432,0.354809129,0.559369152,NA,NA
RE8,RE8C,South,RE,C,NA,NA,NA,NA,0.723514188,0.494119874,0.407951589,0.463676062,NA,NA
RE8,RE8D,South,RE,D,NA,NA,NA,NA,0.858584495,0.443961377,0.357677903,0.544202748,NA,NA
