ID,Iden,Region,Population,Treatment,Block,Number,style_length,stamen_length,ovule_number,mass,viable_seed,aborted_seed,unfertilized
PI12,PI12D,North,PI,Control,D,1,12.3,8,115,,,,
PI12,PI12D,North,PI,Control,D,2,12.7,7.9,119,,,,
PI12,PI12D,North,PI,Control,D,3,12.9,8.1,113,,,,
PI13,PI13A,North,PI,Heat,A,1,,,,,,,
PI13,PI13A,North,PI,Heat,A,2,,,,,,,
PI13,PI13A,North,PI,Heat,A,3,,,,,,,
PI13,PI13B,North,PI,Control,B,1,12.1,7.5,86,,37,0,39
PI13,PI13B,North,PI,Control,B,2,11.6,7.6,84,,49,0,23
PI13,PI13B,North,PI,Control,B,3,11.9,7.8,57,,37,0,24
PI13,PI13C,North,PI,Heat,C,1,9.2,7.1,78,,,,
PI13,PI13C,North,PI,Heat,C,2,9,6.7,88,,,,
PI13,PI13C,North,PI,Heat,C,3,9.3,7.1,90,,,,
PI13,PI13D,North,PI,Control,D,1,12,7.6,104,,,,
PI13,PI13D,North,PI,Control,D,2,12.2,7.8,124,,,,
PI13,PI13D,North,PI,Control,D,3,12.8,7.9,105,,,,
PI14,PI14A,North,PI,Heat,A,1,10.3,6.9,41,,4,2,41
PI14,PI14A,North,PI,Heat,A,2,12.1,6.2,89,,9,6,43
PI14,PI14A,North,PI,Heat,A,3,10.9,6,116,,,,
PI14,PI14B,North,PI,Control,B,1,11,8.1,82,,35,1,21
PI14,PI14B,North,PI,Control,B,2,11,7.4,79,,46,0,13
PI14,PI14B,North,PI,Control,B,3,11.3,7,68,,41,0,22
PI14,PI14C,North,PI,Heat,C,1,10,7.4,87,,,,
PI14,PI14C,North,PI,Heat,C,2,10.2,7.7,109,,,,
PI14,PI14C,North,PI,Heat,C,3,9,6.3,108,,,,
PI14,PI14D,North,PI,Control,D,1,11.9,8.2,104,,,,
PI14,PI14D,North,PI,Control,D,2,12.5,8.6,77,,,,
PI14,PI14D,North,PI,Control,D,3,13,8.6,102,,,,
PI15,PI15A,North,PI,Heat,A,1,9.2,6.2,62,,,,
PI15,PI15A,North,PI,Heat,A,2,8.8,7,77,,,,
PI15,PI15A,North,PI,Heat,A,3,8.5,6.7,76,,,,
PI15,PI15B,North,PI,Control,B,1,,,,,,,
PI15,PI15B,North,PI,Control,B,2,,,,,,,
PI15,PI15B,North,PI,Control,B,3,,,,,,,
PI15,PI15C,North,PI,Heat,C,1,9.8,6,84,0.87,30,1,33
PI15,PI15C,North,PI,Heat,C,2,9.7,6,65,0.811,24,5,32
PI15,PI15C,North,PI,Heat,C,3,9.6,6,80,1.124,40,3,28
PI15,PI15D,North,PI,Control,D,1,,7.1,101,,,,
